# NIEM Type Directory — one line per type for efficient semantic matching
# Format: qname | baseType | pattern | propCount | definition | topProperties
# Total: 2802 types
#
ag:AcreageSubmissionFileType | - | object | 5 | A data type containing the entire set of the crops planted on a farm, itemized down to the acreage of individual fields  | AcreageSubmissionFileAugmentationPoint, CropYearValue, CustomerInfo, FarmCropAcreage, OriginatorIdentificationID
ag:AgricultureProductionPlanType | - | object | 24 | A data type that contains agriculture production plan related information including location, product, acreage, planting | AcreageCalculationProjectionCode, AgricultureProductionPlanAugmentationPoint, CoreProductCategoryCode, CoreProductCode, CountyCode, CroppingPracticeCode, FinalPlantedDate, FinalReportedAcreageValue
ag:CustomerInfoType | - | object | 10 | A data type containing customer information including identification and name. | CustomerInfoAugmentationPoint, CustomerInterAgencyIdentificationID, FileCustomerID, OrganizationName, PersonGivenName, PersonMiddleName, PersonNameSuffixText, PersonSurName
ag:FarmCropAcreageType | - | object | 5 | A data type that contains farm related information including FSA state and county, farm number, and one to many tracts. | AdministrativeCountyFSACode, AdministrativeStateFSACode, FarmCropAcreageAugmentationPoint, FarmNumberID, TractCropAcreage
ag:FieldCropAcreageType | - | object | 5 | A data type that contains field related information including CLU related information, field number, and one to many agr | AgricultureProductionPlan, CLUID, CLUProducerReviewRequestIndicator, FieldCropAcreageAugmentationPoint, FieldNumberID
ag:GeospatialSourceInfoType | - | object | 12 | A data type that contains the sourcing of geospatial information that include the method of sourcing, modifications made | GeospatialDataSubmissionMethodCode, GeospatialShapeModifiedIndicator, GeospatialShapeModifiedOtherReasonText, GeospatialShapeModifiedReasonCode, GeospatialShapeProcessDate, GeospatialShapeSourceCode, GeospatialSourceDataCreationDateTime, GeospatialSourceInfoAugmentationPoint
ag:ProducerShareType | - | object | 3 | A data type that contains producer's share in the benefits coming from a crop, expressed as a percentage. | FileCustomerID, ProducerShareAugmentationPoint, ProducerSharePercent
ag:TractCropAcreageType | - | object | 3 | A data type that contains tract related information including tract number, and one to many fields. | FieldCropAcreage, TractCropAcreageAugmentationPoint, TractNumberID
biom:ANSIRecordCategoryCodeSimpleType | xs:integer | simple_value | 0 | A data type for a kind of record based on ANSI/NIST-ITL 1-2013 (Obsolete) | -
biom:ANSIRecordCategoryCodeType | biom:ANSIRecordCategoryCodeSimpleType | complex_value | 0 | A data type for a kind of record (Obsolete) | -
biom:AcquisitionLightingSpectrumCodeSimpleType | xs:token | simple_value | 0 | A data type for a lighting spectrum used in capturing an iris image | -
biom:AcquisitionLightingSpectrumCodeType | biom:AcquisitionLightingSpectrumCodeSimpleType | complex_value | 0 | A data type for a lighting spectrum used in capturing an iris image | -
biom:AcquisitionLightingSpectrumType | - | object | 4 | A data type for a lighting spectrum used in capturing an image | AcquisitionLightingSpectrumAugmentationPoint, AcquisitionLightingSpectrumCode, AcquisitionLightingSpectrumLowerMeasure, AcquisitionLightingSpectrumUpperMeasure
biom:AcquisitionSourceCodeSimpleType | xs:token | simple_value | 0 | A data type for a source acquisition code | -
biom:AcquisitionSourceCodeType | biom:AcquisitionSourceCodeSimpleType | complex_value | 0 | A data type for a source acquisition code | -
biom:AssociatedContextType | - | object | 3 | A data type for a reference to an associated context | AssociatedContextAugmentationPoint, ContextID, ImageSegmentID
biom:AssuranceLogEntryType | - | object | 6 | A data type for an information assurance log entry | AssuranceLogAgentText, AssuranceLogEntryAugmentationPoint, AssuranceLogEventCode, AssuranceLogEventLocationText, AssuranceLogEventOriginalValueText, AssuranceLogEventReasonText
biom:AssuranceLogEventCodeSimpleType | xs:token | simple_value | 0 | A data type for an information assurance log event code | -
biom:AssuranceLogEventCodeType | biom:AssuranceLogEventCodeSimpleType | complex_value | 0 | A data type for an information assurance log event code | -
biom:AudioCaptureDeviceCodeSimpleType | xs:integer | simple_value | 0 | A data type for a description of an audio segment channel capture device. | -
biom:AudioCaptureDeviceCodeType | biom:AudioCaptureDeviceCodeSimpleType | complex_value | 0 | A data type for a description of an audio segment channel capture device. | -
biom:AudioInformationType | - | object | 4 | A data type for a description of specific time segments within a voice recording, and their processing. | AudioInformationAugmentationPoint, ProcessingAuthorityText, ProcessingCommentText, ProcessingIndicatorCode
biom:AudioObjectDescriptorCodeSimpleType | xs:token | simple_value | 0 | A data type for an enumeration of codes describing Audio Objects | -
biom:AudioObjectDescriptorCodeType | biom:AudioObjectDescriptorCodeSimpleType | complex_value | 0 | A data type for a representation of codes describing an Audio Object | -
