"Model Class","Model Attribute","Model Type","Model Multiplicity","Model Definition"
"Submission","","","",""
"MessageMetadata","","","",""
"MessageMetadata","MessageTimestamp","","0..1","The Timestamp when the message was created for submission."
"MessageMetadata","MessageID","","0..1","A unique identifier for the submission. Generated by the submitting agency."
"MessageMetadata","NIBRSIEPDVersion","","0..1","The version of the NIBRS IEPD for the message."
"MessageMetadata","SubmittingAgencyORI","","1","The Originating Agency Identifier for the submitting organization."
"Report","","","",""
"ReportHeader","","","",""
"ReportHeader","ReportCategory","","1","The type of report being submitted to UCR."
"ReportHeader","ReportAction","","1","The action to take on the given report type."
"ReportHeader","MonthAndYearofSubmission","","1","The report year and month."
"ReportHeader","ORICode","","1","NIBRS Element 1. This is the unique nine-character NCIC Originating Agency Identifier (ORI) Number that has been assigned to each agency"
"Incident","","","",""
"Incident","IncidentNumber","","1","NIBRS Element 2. This is the number assigned by the reporting agency to each Incident Report to uniquely identify an incident, e.g., the Originating Agency Case (OCA) Number."
"Incident","IncidentDateandTime","","0..1","NIBRS Element 3. This data element must be included in each Incident Report. It should be used to enter the month, day, and year (YYYY-MM-DD) the incident occurred or started or the beginning of the time period in which it occurred (as appropriate) when the time is not known."
"Incident","IncidentDate","","0..1","NIBRS Element 3. This data element must be included in each Incident Report. It should be used to enter the month, day, and year (YYYY-MM-DD) the incident occurred or started or the beginning of the time period in which it occurred (as appropriate) when the time is not known."
"Incident","ReportDateIndicator","","0..1","NIBRS Element 3. Report Date Indicator is used to designate that the date entered in <nibrs:Report/nc:Incident/nc:ActivityDate/nc:DateTime> or <nibrs:Report/nc:Incident/nc:ActivityDate/nc:Date> is the Report Date rather than the Incident Date."
"Incident","CargoTheftIndicator","","0..1","NIBRS Element 2A. This data element indicates whether or not the incident involved a Cargo Theft. Although it is an optional data element, once added to a submission, it becomes conditional and must be populated with a valid data value."
"Incident","ClearedExceptionally","","*","NIBRS Element 4. This data element must be included in each Incident Report. It is used to indicate whether or not the incident was cleared exceptionally."
